Mon_Jun__1_18:20:01_PDT_2009|ramaati-wxp01|10.19.222.6|54|452|2009-06-01 18:19:55.333|The process 'C:\WINDOWS\explorer.exe' (as user CISCO\ramaati) attempted to initiate a connection as a client on TCP port 80 to 65.55.11.179 using interface Wired\Intel(R) PRO/1000 PL Network Connection. The operation was denied.
Mon_Jun__1_18:20:01_PDT_2009|kmorriss-wxp01|10.21.147.3|1883|547|2009-06-01 18:19:54.447|The process 'C:\WINDOWS\system32\winlogon.exe' (as user CISCO\kmorriss) attempted to call the function LoadLibraryExW("C:\WINDOWS\system32\msxml3.dll") from a buffer (the return address was 0x5507507b). The code at this address is '10508b45 0c508b45 0850ff15 e4ea0955 8bd885db 74113bf3 740df645 10027507' This either happens when a process uses self-modifying code or when a process has been subverted by a buffer overflow attack.  The operation was allowed.
Mon_Jun__1_18:20:01_PDT_2009|ccat-tools2.icm|64.102.36.253|50|755|2009-06-01 21:19:27.143|The process 'C:\WINDOWS\System32\smss.exe' (as user NT AUTHORITY\SYSTEM) attempted to load kernel module '\SystemRoot\System32\win32k.sys' after boot time. The operation was allowed by a rule (rule 676).
Mon_Jun__1_18:20:01_PDT_2009|dramakri-wxp|64.103.138.152|46|762|2009-06-01 18:19:40.570|Kernel functionality has been modified by the module C:\WINDOWS\system32\DRIVERS\SynTP.sys. The module 'C:\WINDOWS\system32\DRIVERS\SynTP.sys'  is monitoring the keyboard.  The specified action was taken to set detected rootkit as Untrusted.
Mon_Jun__1_18:20:01_PDT_2009|yshikhma-wxp01|64.103.112.129|50|755|2009-06-02 04:19:40.827|The process 'C:\WINDOWS\System32\smss.exe' (as user NT AUTHORITY\SYSTEM) attempted to load kernel module '\SystemRoot\System32\win32k.sys' after boot time. The operation was allowed by a rule (rule 676).
Mon_Jun__1_18:20:01_PDT_2009|apanacha-wxp01|10.21.150.172|1883|547|2009-06-01 22:19:39.157|The process 'C:\WINDOWS\system32\winlogon.exe' (as user NT AUTHORITY\SYSTEM) attempted to call the function LoadLibraryExW("C:\WINDOWS\system32\userinit.exe") from a buffer (the return address was 0x5507507b). The code at this address is '10508b45 0c508b45 0850ff15 e4ea0955 8bd885db 74113bf3 740df645 10027507' This either happens when a process uses self-modifying code or when a process has been subverted by a buffer overflow attack.  The operation was allowed.
Mon_Jun__1_18:20:01_PDT_2009|sisridha-wxp01|10.77.23.73|50|755|2009-06-02 06:49:44.937|The process 'C:\WINDOWS\System32\smss.exe' (as user NT AUTHORITY\SYSTEM) attempted to load kernel module '\SystemRoot\System32\win32k.sys' after boot time. The operation was allowed by a rule (rule 676).
Mon_Jun__1_18:20:01_PDT_2009|sudhr-wxp05|10.76.30.231|50|755|2009-06-01 18:19:43.957|The process 'C:\WINDOWS\System32\smss.exe' (as user NT AUTHORITY\SYSTEM) attempted to load kernel module '\SystemRoot\System32\win32k.sys' after boot time. The operation was allowed by a rule (rule 676).
Mon_Jun__1_18:20:01_PDT_2009|dlian-wxp07|72.163.225.193|50|755|2009-06-02 09:19:35.947|The process 'C:\WINDOWS\System32\smss.exe' (as user NT AUTHORITY\SYSTEM) attempted to load kernel module '\SystemRoot\System32\win32k.sys' after boot time. The operation was allowed by a rule (rule 676).
Mon_Jun__1_18:20:01_PDT_2009|raugupta-wxp|10.21.67.168|1922|547|2009-06-01 18:19:43.610|The process 'C:\Program Files\Internet Explorer\IEXPLORE.EXE' (as user CISCO\raugupta) attempted to call the function ResetWriteWatch from a buffer (the return address was 0x13c497cf). The code at this address is '502c8b45 d083782c 007d05e9 65fdffff 8b45d08b 502cb932 ff5212e8 ed8940fc 8b5dd08d 5308e856 1cb6678b 45d08b50 088b4d10 3909e8c6 91f8ff8d 65f45b5e' This either happens when a process uses self-modifying code or when a process has been subverted by a buffer overflow attack.  The operation was allowed.
Mon_Jun__1_18:20:01_PDT_2009|raugupta-wxp|10.21.67.168|1922|547|2009-06-01 18:19:43.597|The process 'C:\Program Files\Internet Explorer\IEXPLORE.EXE' (as user CISCO\raugupta) attempted to call the function GetWriteWatch from a buffer (the return address was 0x13c497cf). The code at this address is '502c8b45 d083782c 007d05e9 65fdffff 8b45d08b 502cb932 ff5212e8 ed8940fc 8b5dd08d 5308e856 1cb6678b 45d08b50 088b4d10 3909e8c6 91f8ff8d 65f45b5e' This either happens when a process uses self-modifying code or when a process has been subverted by a buffer overflow attack.  The operation was allowed.
